name, address, web, picture
U Alberta,Pellicova 50/10 Brno-město,https://www.facebook.com/ualbertabrno/,https://www.pivnici.cz/foto/bf/edd5719e58b9f4d286a0077c970f20b.jpg
Stará Hospoda,Kluchova 11/12 Brno Nový Lískovec,https://www.facebook.com/people/STAR%C3%81-HOSPODA/100063786420774/,https://lh3.googleusercontent.com/p/AF1QipP_iEBz4ohbYQ75p_w6ugK8r_r_yvQ44purSPBI=s680-w680-h510
Pivnice U Poutníka,Starobrněnská 341/18 Brno-město,https://www.facebook.com/pivniceupoutnika,https://lh3.googleusercontent.com/p/AF1QipNOtFJRTO1LlnKhSgHVpuq6p3M1GCTAav_tswY=s680-w680-h510
Hladinka a Šnyt,Kounicova 681/10 Brno Veveří,https://www.facebook.com/hladinkaasnyt/?locale=cs_CZ,https://lh3.googleusercontent.com/p/AF1QipMSXD-v2JhfDzfMZCsdtucWnTVIvY9WNXhCFACe=s680-w680-h510
Ochutnávková pivnice,Lidická 1860/10 Brno Černá pole,https://ochutnavkovapivnice.cz/,https://ochutnavkovapivnice.cz/foto/pivnice/op18.jpg
Pivnice U Tekutého chleba,Moravské náměstí 755/14a Brno Veveří,https://www.facebook.com/hercny/?locale=cs_CZ,https://lh3.googleusercontent.com/p/AF1QipMjyQ6Wfd9nySr5TWBlLuErAS2xeYAcd7qxem5v=s680-w680-h510
U Vodičků,Jugoslávská 33 Brno-sever,https://uvodicku.com/,http://uvodicku.com/wp-content/uploads/2020/09/U-Vodicku-1-1.jpg
Na Božence,Boženy Němcové 1019/18 Brno Královo Pole,https://www.facebook.com/NaBozence/?locale=cs_CZ,https://lh3.googleusercontent.com/p/AF1QipNuFb72UaWaQUVQcVmRi2HNKLbG-Z96XlD2ywwC=s680-w680-h510
Putyka,Novodvorská 1029/3 Brno Žebětín,https://www.facebook.com/people/Putyka-Kamechy/100057436878562/,https://lh3.googleusercontent.com/p/AF1QipP3LZOzqlnh6pGIJrgGfEkGc2nsUUXv4WK5eSIb=s680-w680-h510
Hostinec U Semináru,Smetanova 634/30 Brno Veveří,http://www.useminaru.cz/,http://www.useminaru.cz/thumbnail/phpThumb.php?w=310&src=../fotogalerie/D70_9022.jpg
Pivnice U Gogola,Kachlíkova 1102/14 Brno Bystrc,https://ugogola.webnode.cz/,https://31097eb633.cbaul-cdnwnd.com/df6241f52608fd4723707b8527a58b8d/system_preview_detail_200001399-27b7c28b1a-public/P1030222.jpg
Pivnice U Tygra,Vrchlického sad 1893/3 Brno Černá Pole,https://www.pivniceutygra.cz/,https://lh3.googleusercontent.com/p/AF1QipNFP4buEDp97vYfYtr-x4Au1Sjuz7Kaa0C2lvPh=s680-w680-h510
Schrott,Křenová 291/10 Brno Trnitá,https://schrott.cz/,https://lh3.googleusercontent.com/p/AF1QipOfwTx-nhx3HWgSsHJ0oPvGf07jhk3SU6GSmY8R=s680-w680-h510
Hostinec U Tesaře,Grmelova 62/9 Brno Štýřice,https://www.utesare.cz/,https://lh3.googleusercontent.com/p/AF1QipM5Zpok9bxUVYkpVg4oZc-K5LMIHrv_Zjvlu8sc=s680-w680-h510
Pivnice U Náhla,Kohoutovická 867 Brno Žebětín,https://pivniceunahla.eatbu.com/?lang=cs,https://lh3.googleusercontent.com/p/AF1QipMbYn-4R6TD0JdxanTbD03puKUKzuyq4AXdytVo=s680-w680-h510
Výčep Na Stojáka Pekařská,Pekařská 2 Brno-střed,https://vycepnastojaka.cz/,https://vycepnastojaka.cz/wp-content/uploads/2020/08/vycepnastojaka_pekanda_2.jpg
Malt Worm,Starobrněnská 339/12 Brno-město,https://maltworm.cz/en/home/,https://maltworm.cz/wp-content/uploads/2019/08/maltowrm13-768x513.jpg
FBB Klub Na Dráze,Nádaržní 686/9 Brno-město,https://www.facebook.com/nadraze/?locale=cs_CZ,https://lh3.googleusercontent.com/p/AF1QipO00YjnZ_rBuwOsITjblKDjGW0ypMmxRLHpufY8=s680-w680-h510
Rytířská krčma,Lidická 695/9 Brno Veveří,https://www.rytirska-krcma.cz/,https://www.rytirska-krcma.cz/wp-content/uploads/2024/01/20240109-_DSC7779-scaled.jpg
